code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,num_assessments,min_score,max_score,avg_date_submitted,total_banked
BBB,2014B,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,N,0,91,10,73.4,93.1,91.6,0
GGG,2013J,M,North Western Region,A Level or Equivalent,70-80%,35-55,N,0,176,9,31.9,83.3,125.2,0
CCC,2014J,F,Scotland,HE Qualification,0-10%,0-35,Y,0,30,3,51.9,68.4,96.1,0
DDD,2014B,F,London Region,A Level or Equivalent,90-100%,0-35,N,0,77,9,46.9,69.9,38.7,0
FFF,2014B,F,London Region,A Level or Equivalent,20-30%,0-35,N,0,103,14,31.0,98.9,101.9,0
FFF,2014J,F,London Region,Lower Than A Level,20-30%,35-55,N,0,83,10,61.8,88.0,142.2,0
FFF,2013B,F,South West Region,Lower Than A Level,80-90%,35-55,Y,0,73,12,41.5,85.5,97.6,0
EEE,2014B,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,0,30,7,68.4,80.9,130.9,0
DDD,2013B,M,South West Region,A Level or Equivalent,80-90%,0-35,N,0,87,11,29.5,82.8,55.5,0
CCC,2014B,M,Wales,Lower Than A Level,90-100%,0-35,N,0,48,9,92.4,100.0,97.7,1
FFF,2013J,M,South East Region,A Level or Equivalent,30-40%,0-35,N,0,30,3,33.4,82.3,72.9,0
GGG,2013J,F,Wales,A Level or Equivalent,90-100%,0-35,N,0,124,9,58.6,66.4,129.7,0
EEE,2013B,F,North Region,HE Qualification,50-60%,0-35,Y,0,115,3,71.5,99.4,100.1,1
FFF,2013B,M,Scotland,A Level or Equivalent,50-60%,0-35,N,0,80,5,40.8,84.4,127.4,0
FFF,2014J,F,East Anglian Region,Lower Than A Level,60-70%,0-35,N,0,87,9,72.9,88.1,143.8,0
FFF,2014J,F,Scotland,A Level or Equivalent,90-100%,0-35,Y,0,120,9,25.9,100.0,127.4,0
BBB,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,N,1,87,2,86.4,87.3,110.1,0
DDD,2014B,F,Yorkshire Region,HE Qualification,50-60%,0-35,N,1,113,13,54.0,92.2,57.4,0
BBB,2013B,F,South Region,A Level or Equivalent,60-70%,0-35,N,0,66,10,40.2,69.0,98.7,0
BBB,2014J,M,North Region,Lower Than A Level,70-80%,35-55,N,0,129,5,46.9,84.2,76.7,0
DDD,2013J,F,Scotland,HE Qualification,60-70%,0-35,N,0,90,1,71.9,97.3,84.5,0
FFF,2013J,M,North Region,Lower Than A Level,20-30%,0-35,N,0,85,7,40.5,63.0,83.3,0
BBB,2013B,F,London Region,HE Qualification,10-20,0-35,N,0,30,6,36.8,90.8,58.2,0
BBB,2014B,F,Scotland,A Level or Equivalent,40-50%,0-35,N,0,89,8,48.7,89.2,17.7,0
BBB,2014B,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,0,45,6,27.1,88.3,71.1,0
CCC,2013J,M,South Region,A Level or Equivalent,10-20,0-35,N,0,53,1,94.7,100.0,106.8,0
FFF,2013J,F,South Region,Lower Than A Level,20-30%,35-55,Y,0,46,6,40.9,93.0,42.9,1
DDD,2014J,F,South Region,Post Graduate Qualification,90-100%,0-35,N,0,36,6,72.4,100.0,99.4,0
DDD,2014J,M,South East Region,A Level or Equivalent,30-40%,0-35,Y,0,161,11,58.4,71.9,160.0,0
FFF,2013B,F,West Midlands Region,Lower Than A Level,?,0-35,N,0,130,5,31.4,89.8,141.2,0
DDD,2014B,M,London Region,A Level or Equivalent,60-70%,0-35,N,0,153,15,53.5,89.0,160.0,0
FFF,2013B,F,South West Region,Lower Than A Level,80-90%,0-35,N,0,30,1,71.3,71.3,115.0,0
FFF,2013B,M,Wales,Lower Than A Level,10-20,35-55,N,0,81,14,49.4,100.0,147.1,3
GGG,2013J,M,South Region,HE Qualification,30-40%,0-35,N,3,30,7,80.6,100.0,68.8,0
GGG,2014B,M,North Western Region,Lower Than A Level,70-80%,0-35,N,0,51,12,76.7,87.4,72.1,0
EEE,2013B,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,2,42,8,74.4,95.7,0.0,0
BBB,2014B,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,2,126,13,43.3,89.0,147.9,0
FFF,2014J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,62,6,29.3,76.3,160.0,0
CCC,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,119,3,39.8,58.8,75.9,0
BBB,2014J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,101,14,58.1,76.5,88.3,0
FFF,2013B,M,East Midlands Region,HE Qualification,60-70%,0-35,N,1,168,7,66.0,66.0,67.5,0
DDD,2013J,F,Scotland,Lower Than A Level,70-80%,35-55,N,0,30,9,4.7,100.0,114.6,0
FFF,2014J,M,South West Region,Lower Than A Level,80-90%,0-35,N,0,127,13,53.5,85.8,145.4,0
GGG,2014B,F,South Region,A Level or Equivalent,60-70%,0-35,N,0,123,3,57.2,82.2,26.6,0
BBB,2013J,F,Ireland,HE Qualification,30-40%,35-55,N,0,40,10,47.4,100.0,115.7,0
CCC,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,N,0,117,5,82.8,82.8,87.3,0
BBB,2014J,M,South East Region,A Level or Equivalent,30-40%,0-35,N,0,91,7,63.2,75.5,103.5,0
DDD,2014B,M,West Midlands Region,Lower Than A Level,40-50%,0-35,N,0,69,8,83.2,88.7,117.8,1
DDD,2013J,F,Scotland,Lower Than A Level,40-50%,0-35,N,1,46,1,48.8,100.0,91.0,0
FFF,2014B,M,South West Region,A Level or Equivalent,30-40%,0-35,N,0,50,4,74.8,95.6,94.5,1
GGG,2013J,F,North Region,Lower Than A Level,40-50%,0-35,N,1,158,14,90.5,91.6,89.9,0
CCC,2014B,M,South West Region,Lower Than A Level,20-30%,0-35,N,0,78,12,83.3,88.9,139.0,2
GGG,2013J,F,South East Region,A Level or Equivalent,80-90%,0-35,N,0,108,7,29.0,94.0,116.1,0
GGG,2013J,F,Yorkshire Region,HE Qualification,90-100%,0-35,N,0,47,9,47.9,90.8,107.9,1
DDD,2013B,F,South Region,HE Qualification,30-40%,0-35,N,0,47,6,45.9,71.3,46.1,0
GGG,2013J,M,East Anglian Region,Lower Than A Level,90-100%,35-55,N,0,120,14,64.7,88.4,83.1,0
FFF,2014J,F,South West Region,Lower Than A Level,0-10%,0-35,N,0,30,7,69.1,70.6,136.0,0
FFF,2014J,M,North Western Region,A Level or Equivalent,10-20,0-35,N,0,62,9,34.7,88.9,100.3,0
FFF,2014B,M,South East Region,Lower Than A Level,30-40%,0-35,N,1,79,13,55.2,80.0,126.1,0
BBB,2014B,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,N,3,82,4,8.1,100.0,160.0,0
BBB,2014B,F,London Region,A Level or Equivalent,80-90%,0-35,N,0,71,15,86.2,87.0,141.8,1
BBB,2014J,F,South Region,Lower Than A Level,70-80%,0-35,N,0,93,1,42.1,65.4,102.6,0
EEE,2014J,F,South East Region,Lower Than A Level,30-40%,0-35,N,0,105,15,54.9,85.5,77.6,0
BBB,2014J,M,South Region,Lower Than A Level,30-40%,0-35,N,0,106,6,46.7,95.9,0.0,0
BBB,2013J,M,South East Region,A Level or Equivalent,40-50%,0-35,N,1,39,7,79.5,100.0,91.8,0
DDD,2013J,F,North Western Region,Lower Than A Level,10-20,0-35,N,0,67,1,0.0,78.3,85.3,0
FFF,2013J,M,East Midlands Region,A Level or Equivalent,10-20,0-35,N,0,124,6,53.3,62.6,115.0,0
CCC,2013J,M,Scotland,A Level or Equivalent,10-20,35-55,N,2,113,3,51.3,100.0,92.4,0
FFF,2013B,M,South West Region,A Level or Equivalent,80-90%,0-35,N,0,30,5,43.4,65.8,85.5,0
AAA,2013J,M,North Western Region,A Level or Equivalent,90-100%,0-35,N,1,91,7,92.6,92.6,25.1,0
CCC,2013J,M,South West Region,Lower Than A Level,40-50%,35-55,N,0,30,12,33.6,83.6,59.8,0
FFF,2014B,M,East Anglian Region,Lower Than A Level,90-100%,0-35,N,0,80,9,71.1,86.5,118.5,0
FFF,2013J,M,Wales,A Level or Equivalent,40-50%,0-35,N,0,152,9,61.7,98.6,160.0,0
EEE,2014B,M,Yorkshire Region,HE Qualification,50-60%,0-35,Y,0,41,3,82.1,82.1,94.7,0
CCC,2013B,F,South Region,HE Qualification,10-20,0-35,N,0,45,4,38.6,83.3,112.4,0
CCC,2013B,M,Scotland,HE Qualification,60-70%,35-55,N,0,108,16,37.1,87.4,138.2,0
CCC,2014J,M,Scotland,A Level or Equivalent,?,35-55,N,0,30,4,78.4,90.0,65.2,0
FFF,2013B,F,East Midlands Region,Lower Than A Level,0-10%,0-35,N,0,53,15,63.3,89.2,114.0,0
BBB,2013J,M,South West Region,Post Graduate Qualification,40-50%,0-35,N,0,101,7,18.8,94.6,68.1,0
FFF,2014J,F,West Midlands Region,Lower Than A Level,60-70%,35-55,N,0,53,8,41.5,100.0,134.6,0
EEE,2013J,F,South Region,A Level or Equivalent,20-30%,35-55,N,0,69,13,62.4,93.9,105.1,0
DDD,2013B,M,London Region,A Level or Equivalent,90-100%,35-55,N,0,107,14,72.6,94.8,111.1,0
BBB,2013J,M,South West Region,Lower Than A Level,50-60%,0-35,N,0,94,7,38.3,62.6,66.4,0
FFF,2014J,F,West Midlands Region,HE Qualification,50-60%,0-35,N,0,88,6,0.0,88.4,128.1,0
BBB,2014B,F,Ireland,Lower Than A Level,0-10%,35-55,N,0,65,7,65.5,95.3,160.0,0
BBB,2014J,M,East Anglian Region,Lower Than A Level,60-70%,0-35,N,0,92,9,26.1,99.2,57.0,0
CCC,2014J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,73,12,8.1,76.7,84.7,0
DDD,2014J,M,North Western Region,Lower Than A Level,60-70%,0-35,N,0,96,8,0.0,77.2,108.4,0
